file_name	env_sample	sample_sizefract	fraction_min	fraction_max	collection_method	dna_concentration	260_280	260_230	n_reads	comment
"Jan_B16_1000_3_180_bc1_1_L9.{1,2}.fastq.gz"	Jan_B16_1000	Jan_B16_1000_3_180	3	180	niskin	6.86	1.44	6.65		
"Mar_M05_0020_3_180_bc2_2_L9.{1,2}.fastq.gz"	Mar_M05_0020	Mar_M05_0020_3_180	3	180	niskin	48.1	1.78	1.86		
"May_P03_0001_10_50_bc3_3_L9.{1,2}.fastq.gz"	May_P03_0001	May_P03_0001_10_50	10	50	niskin	22.35	1.8	3.57		
"May_P04_0500_10_50_bc1_1_L5.{1,2}.fastq.gz"	May_P04_0500	May_P04_0500_10_50	10	50	niskin	12.01	1.39	0.73		
"May_P04_0500_50_200_bc2_2_L5.{1,2}.fastq.gz"	May_P04_0500	May_P04_0500_50_200	50	200	niskin	2.751	1.6	10.31		
"May_P04_1000_0.4_3_bc3_3_L5.{1,2}.fastq.gz"	May_P04_1000	May_P04_1000_0.4_3	0.4	3	niskin	6.514	1.93	4.15		
"May_P04_1000_3_10_bc4_4_L5.{1,2}.fastq.gz"	May_P04_1000	May_P04_1000_3_10	3	10	niskin	9.669	1.79	-1.77		
"May_P04_1000_10_50_bc5_5_L5.{1,2}.fastq.gz"	May_P04_1000	May_P04_1000_10_50	10	50	niskin	6.668	1.31	0.61		
"May_P04_1000_50_200_bc6_7_L5.{1,2}.fastq.gz"	May_P04_1000	May_P04_1000_50_200	50	200	niskin	1.724	10.77	8.77		
"Nov_N02_0020_0.4_3_bc1_1_L8.{1,2}.fastq.gz"	Nov_N02_0020	Nov_N02_0020_0.4_3	0.4	3	niskin	1.32	NA	NA		
"Nov_N02_0020_3_10_bc2_2_L8.{1,2}.fastq.gz"	Nov_N02_0020	Nov_N02_0020_3_10	3	10	niskin	3.31	NA	NA		
"Nov_N02_0020_10_50_bc3_3_L8.{1,2}.fastq.gz"	Nov_N02_0020	Nov_N02_0020_10_50	10	50	niskin	1.33	1.33	-0.23		
"Nov_N02_net_10_50_bc5_5_L8.{1,2}.fastq.gz"	Nov_N02_0020	Nov_N02_net_10_50	10	50	net	2.98	1.35	-2.61		
"Nov_N02_0020_50_200_bc4_4_L8.{1,2}.fastq.gz"	Nov_N02_0020	Nov_N02_0020_50_200	50	200	niskin	3.23	1.54	-1.13		
"Nov_N02_net_50_200_bc6_7_L8.{1,2}.fastq.gz"	Nov_N02_0020	Nov_N02_net_50_200	50	200	net	2.01	1.43	-1.2		
"Nov_N03_0020_0.4_3_bc7_6_L8.{1,2}.fastq.gz"	Nov_N03_0020	Nov_N03_0020_0.4_3	0.4	3	niskin	2.53	NA	NA		
"Nov_N03_0020_3_10_bc8_8_L8.{1,2}.fastq.gz"	Nov_N03_0020	Nov_N03_0020_3_10	3	10	niskin	6.83	NA	NA		
"Nov_N03_0020_10_50_bc9_9_L8.{1,2}.fastq.gz"	Nov_N03_0020	Nov_N03_0020_10_50	10	50	niskin	3.09	1.64	-0.63		
"Nov_N03_net_10_50_bc11_10_L8.{1,2}.fastq.gz"	Nov_N03_0020	Nov_N03_net_10_50	10	50	net	1.34	2.56	-0.41		
"Nov_N03_0020_50_200_bc10_11_L8.{1,2}.fastq.gz"	Nov_N03_0020	Nov_N03_0020_50_200	50	200	niskin	2.12	2.41	-0.4		
"Nov_N03_net_50_200_bc12_12_L8.{1,2}.fastq.gz"	Nov_N03_0020	Nov_N03_net_50_200	50	200	net	1.87	1.81	-1.09		
"Nov_N03_0300_0.4_3_bc13_13_L8.{1,2}.fastq.gz"	Nov_N03_0300	Nov_N03_300_0.4_3	0.4	3	niskin	1.82	NA	NA		
"Nov_N03_0300_3_10_bc14_14_L8.{1,2}.fastq.gz"	Nov_N03_0300	Nov_N03_300_3_10	3	10	niskin	4.69	NA	NA		
"Nov_N03_0300_10_50_bc15_15_L8.{1,2}.fastq.gz"	Nov_N03_0300	Nov_N03_300_10_50	10	50	niskin	2.01	1.03	-0.61		
"Nov_N03_0300_50_200_bc16_16_L8.{1,2}.fastq.gz"	Nov_N03_0300	Nov_N03_300_50_200	50	200	niskin	5.31	1.43	1.98		
"Nov_N04_0020_0.4_3_bc7_6_L9.{1,2}.fastq.gz"	Nov_N04_0020	Nov_N04_0020_0.4_3	0.4	3	niskin	1.19	NA	NA		
"Nov_N04_0020_3_10_bc18_18_L8.{1,2}.fastq.gz"	Nov_N04_0020	Nov_N04_0020_3_10	3	10	niskin	2.24	NA	NA		
"Nov_N04_0020_10_50_bc19_19_L8.{1,2}.fastq.gz"	Nov_N04_0020	Nov_N04_0020_10_50	10	50	niskin	0.75	7.33	-0.15		
"Nov_N04_0020_50_200_bc20_20_L8.{1,2}.fastq.gz"	Nov_N04_0020	Nov_N04_0020_50_200	50	200	niskin	2.19	2.09	-0.52		
"Nov_N04_1000_0.4_3_bc8_8_L9.{1,2}.fastq.gz"	Nov_N04_1000	Nov_N04_1000_0.4_3	0.4	3	niskin	1.57	NA	NA		
"Nov_N04_1000_3_10_bc18_18_L5.{1,2}.fastq.gz"	Nov_N04_1000	Nov_N04_1000_3_10	3	10	niskin	1.92	NA	NA		
"Nov_N04_1000_10_50_bc19_19_L5.{1,2}.fastq.gz"	Nov_N04_1000	Nov_N04_1000_10_50	10	50	niskin	2.27	1.27	-1.72		
"Nov_N04_1000_50_200_bc20_20_L5.{1,2}.fastq.gz"	Nov_N04_1000	Nov_N04_1000_50_200	50	200	niskin	1.4	2.56	-0.36		
