Seq	env_sample	month	station	cruise	yyyy-mm-ddThh-mm-ss-sss	Date_mm.dd.yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	depth_m	depthbin	Pressure	CTD.S	CTD.T	Potemp090C	CTD.O2	Oxsatperc	CTD.fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC.TON	NH4_uM	NO2_uM	NO3.NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC.PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON.TN	DOC.DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA.LNA_bacteria	smallVirus.Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m.1	a300_m.1	a351_m.1	a375_m.1	S300.650nm__um.1	R2_of_slope_fit_300.650	S275.295nm__um.1	S300.450nm__um.1
484	Aug_P06_0001	Aug	P06	MP4	2014-08-12T00-47-00	12.08.14	80.8567	15.0157	1273	1	epi	4.964	31.8647	-1.0021	-1.0022	6.98368	8.44428	0.14652	0.128	25.6127	NA	0.004	NA	0.002	NA	NA	NA	63.6	763.2	10.4	9.8	136.6	6.5	1.19	NA	0.64	0.64	0.06	0.68	159.8	5.49	13.32	27.46	2.72	1.96	6.79	50.28	603.4	7.8	109.18	0.75	6.45	1.18	0.04	4.07	5.25	5383.534	2419.679	582.329	1837	1148.594	NA	98.394	124	448000	187000	3150000	5100000	1100000	9350000	0.71	7.03	321.429	102.381	16904.762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
485	Aug_P07_1000	Aug	P07	MP4	2014-08-14T01-04-00	14.08.14	80.7058	15.2657	1220	1000	meso	1013.903	34.9385	-0.2388	-0.2822	5.5263	8.09971	0.038125	0.083	28.0691	NA	0.469	NA	0.129	NA	NA	NA	52.3	627.6	19.5	6.4	89.3	8.2	0.16	NA	13.12	13.12	1	8.37	39.58	2.64	3.3	5.48	2	0.39	8.43	49	588.02	5.99	83.84	0.31	8.18	NA	NA	NA	NA	28.543	0	0	0	14.085	NA	51.577	30	120000	42100	1110000	1300000	269000	2670000	0.54	9.25	20.801	3.852	1508.475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
487	Aug_P07_0500	Aug	P07	MP4	2014-08-14T01-04-00	14.08.14	80.7058	15.2657	1220	500	meso	506.445	35.1045	3.3976	3.3631	5.57194	7.3675	0.075503	0.093	27.9306	NA	1.228	NA	0.485	NA	NA	NA	57.5	690	19.9	9	126	6.4	0	NA	10.9	10.9	0.8	4.3	48.18	2.02	4.01	6.09	1.18	0.44	9.22	53.49	641.82	8.56	119.91	0.43	6.24	NA	NA	NA	NA	181.087	6.036	0	6	32.193	NA	4.024	48	335000	122000	1830000	2740000	554000	5130000	0.57	5.47	73.19	13.867	3510.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
494	Aug_P07_0025	Aug	P07	MP4	2014-08-14T04-40-00	14.08.14	80.6932	15.2822	579	25	epi	25.629	34.7743	4.9838	4.9818	6.16678	7.10233	2.0625	0.241	27.4982	NA	0.179	NA	0.041	NA	NA	NA	67.8	813.6	15.1	15	210	4.5	0.1	NA	NA	0.1	NA	NA	212.25	31.99	17.69	39.25	5.87	2.8	6.31	50.11	601.35	12.2	170.75	0.81	4.11	1.59	0.11	4.83	6.42	4655.936	678.068	78.471	600	4273.092	NA	40.241	42	1560000	426000	3900000	5550000	1650000	11100000	0.38	2.5	160.229	45.78	11845.494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
498	Aug_P07_0001	Aug	P07	MP4	2014-08-14T04-40-00	14.08.14	80.6932	15.2822	579	1	epi	1.856	31.6877	0.1079	0.1078	6.50722	8.2055	0.21679	0.181	25.4281	NA	0.01	NA	0.002	NA	NA	NA	79.5	954	12.1	11.9	166.6	6.7	0.02	NA	0.18	0.2	0.07	0.64	165.23	11.42	13.77	26.47	1.53	1.89	7.28	65.73	788.77	10.01	140.13	0.83	6.57	1.87	0.12	5.3	7.16	271.63	50.302	10.06	40	2463.855	NA	2.012	8	953000	337000	3100000	4320000	1180000	8600000	0.55	3.25	309.365	102.007	16617.057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
574	Nov_N02_0020	Nov	N02	MP5	2014-11-17T14-08-64	07.11.14	79.01217	1.97483	2442	20	epi	20.231	33.6775	-1.3643	NA	NA	NA	0.1099	0.061	27.0936	NA	0.205	0.014	NA	NA	NA	NA	53	634.9	13.8	8.6	120.7	7.9	NA	0.124	5.06	5.1835	0.456	3.337	41.9	5.6	3.49	3.2	2.8	0.2	15.1	49.42	593	8.39	117.42	0.61	5.89	0.02	0	0.37	0.38	312	102	NA	NA	510	NA	7	NA	285000	66800	5370000	1880000	301000	7550000	0.31	19	132.265	20.541	4485.972	74.7295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
576	Nov_N03_0300	Nov	N03	MP5	2014-11-17T14-08-66	08.11.14	79.022	11.33	327	300	meso	304	35.11	3.63	NA	NA	NA	0.04	0.51	27.91	NA	0.075	0.001	NA	NA	NA	NA	50	598.4	16.9	5.3	73.6	9.5	NA	0.015	11.64	11.6546	0.884	7.726	41.3	5.2	3.45	4	0.8	0.3	11.9	46.43	557.1	4.97	69.56	0.29	9.34	0.03	0	0.49	0.52	25	9	NA	NA	132	NA	3	NA	271000	60000	2030000	923000	174000	3120000	0.28	7	123.363	15.162	5606.478	67.2145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
580	Nov_N03_0020	Nov	N03	MP5	2014-11-17T14-08-70	08.11.14	79.022	11.33	327	20	epi	21	34.59	2.3	NA	NA	NA	0.07	0.39	27.62	NA	0.076	0.002	NA	NA	NA	NA	58	698.2	13.4	6.5	90.5	9.7	NA	0.352	6.56	6.9122	0.515	2.221	32.3	0.3	2.7	3.7	0.2	0.3	10.2	55.49	665.86	6.2	86.76	0.46	8.95	0.04	0	0.59	0.63	222	51	NA	NA	424	NA	6	NA	271000	77200	5600000	2640000	495000	8730000	0.4	21	297.968	70.73	7418.36	118.746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
582	Nov_N04_1000	Nov	N04	MP5	2014-11-17T14-08-72	10.11.14	79.026	6.01	1631	1000	meso	1018	34.94	-0.39	NA	NA	NA	0.04	0.05	28.07	NA	0.036	0.05	NA	NA	NA	NA	46	557	19.7	6.7	93.3	9.4	NA	0.003	13.01	13.0134	0.926	8.36	22.5	3.5	1.87	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0	0.22	0.23	2	1	NA	NA	45	NA	0	NA	61900	16700	910000	423000	75600	1410000	0.37	15	25.401	5.348	1339.572	14.3405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
588	Nov_N04_0020	Nov	N04	MP5	2014-11-17T14-08-78	10.11.14	79.026	6.01	1631	20	epi	20	35.09	3.67	NA	NA	NA	0.06	0.06	27.89	NA	0.103	0.01	NA	NA	NA	NA	48	577.1	18.4	7.4	103.4	16.8	NA	0	11	11	0.845	4.496	29.1	4.5	2.43	3	0.3	0.2	11.3	45.66	547.97	7.17	100.43	0.39	6.37	0.01	0	0.31	0.32	119	31	NA	NA	553	NA	3	NA	223000	43700	3360000	2060000	332000	5760000	0.24	15	92.852	18.036	3215.765	59.3825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
