file_name	seq_event	accno	env_sample	sample_sizefract	fraction_min	fraction_max	collection_method	dna_concentration	260_280	260_230	seq_method	n_reads	comment
Aug_P06_0024_0.4_3_bc19_19_L6.1.fastq.gz	Aug_P06_0024_0.4_3_bc19_19_L6	ERS5337772	Aug_P06_0024	Aug_P06_0024_0.4_3	0.4	3	niskin	124.62	1.89	2.51	hiseq	6559	
Aug_P06_0024_0.4_3_bc19_19_L9.1.fastq.gz	Aug_P06_0024_0.4_3_bc19_19_L9	ERS5337646	Aug_P06_0024	Aug_P06_0024_0.4_3	0.4	3	niskin	134.97	1.89	2.24	hiseq	3871	replicate DNA extraction
47_MP4_NP_34_euk_S47_L001_R1_001.fastq.gz	47_MP4_NP_34_euk_S47	ERS5051916	Aug_P06_0024	Aug_P06_0024_3_10	3	10	niskin	62.68	1.89	2.26	miseq	101582	
Aug_P06_0024_3_10_bc20_20_L6.1.fastq.gz	Aug_P06_0024_3_10_bc20_20_L6	ERS5337774	Aug_P06_0024	Aug_P06_0024_3_10	3	10	niskin	62.68	1.89	2.26	hiseq	570548	
Aug_P06_0024_3_10_bc20_20_L9.1.fastq.gz	Aug_P06_0024_3_10_bc20_20_L9	ERS5337672	Aug_P06_0024	Aug_P06_0024_3_10	3	10	niskin	64.56	1.88	2.26	hiseq	1246	replicate DNA extraction
Aug_P06_0024_10_50_bc1_1_L7.1.fastq.gz	Aug_P06_0024_10_50_bc1_1_L7	ERS5337698	Aug_P06_0024	Aug_P06_0024_10_50	10	50	niskin	49.32	1.98	4.72	hiseq	292622	
Aug_P06_0024_50_200_bc2_2_L7.1.fastq.gz	Aug_P06_0024_50_200_bc2_2_L7	ERS5337724	Aug_P06_0024	Aug_P06_0024_50_200	50	200	niskin	178.16	1.89	2.74	hiseq	298037	
Aug_P06_0024_50_200_bc13_13_L9.1.fastq.gz	Aug_P06_0024_50_200_bc13_13_L9	ERS5337775	Aug_P06_0024	Aug_P06_0024_50_200	50	200	niskin	178.16	1.89	2.74	hiseq	47064	replicate barcode
Aug_P06_0500_0.4_3_bc5_5_L7.1.fastq.gz	Aug_P06_0500_0.4_3_bc5_5_L7	ERS5337645	Aug_P06_0500	Aug_P06_0500_0.4_3	0.4	3	niskin	22.91	1.64	2.24	hiseq	378926	
Aug_P06_0500_3_10_bc6_7_L7.1.fastq.gz	Aug_P06_0500_3_10_bc6_7_L7	ERS5337671	Aug_P06_0500	Aug_P06_0500_3_10	3	10	niskin	10.69	1.6	1.79	hiseq	97566	
49_MP4_MI_48_euk_S49_L001_R1_001.fastq.gz	49_MP4_MI_48_euk_S49	ERS5051919	Aug_P06_0500	Aug_P06_0500_10_50	10	50	niskin	10.67	1.76	0.99	miseq	82546	
Aug_P06_0500_10_50_bc7_6_L7.1.fastq.gz	Aug_P06_0500_10_50_bc7_6_L7	ERS5337697	Aug_P06_0500	Aug_P06_0500_10_50	10	50	niskin	10.67	1.76	0.99	hiseq	48635	
Aug_P06_0500_50_200_bc8_8_L7.1.fastq.gz	Aug_P06_0500_50_200_bc8_8_L7	ERS5337723	Aug_P06_0500	Aug_P06_0500_50_200	50	200	niskin	5.24	1.74	1.44	hiseq	105094	
Aug_P06_1000_0.4_3_bc9_9_L7.1.fastq.gz	Aug_P06_1000_0.4_3_bc9_9_L7	ERS5337644	Aug_P06_1000	Aug_P06_1000_0.4_3	0.4	3	niskin	21.98	1.54	0.77	hiseq	102047	
Aug_P06_1000_3_10_bc10_11_L7.1.fastq.gz	Aug_P06_1000_3_10_bc10_11_L7	ERS5337670	Aug_P06_1000	Aug_P06_1000_3_10	3	10	niskin	10.05	1.4	1.04	hiseq	47852	
Aug_P06_1000_10_50_bc11_10_L7.1.fastq.gz	Aug_P06_1000_10_50_bc11_10_L7	ERS5337696	Aug_P06_1000	Aug_P06_1000_10_50	10	50	niskin	2.66	1.92	6.28	hiseq	133401	
Aug_P06_1000_50_200_bc12_12_L7.1.fastq.gz	Aug_P06_1000_50_200_bc12_12_L7	ERS5337722	Aug_P06_1000	Aug_P06_1000_50_200	50	200	niskin	3.03	2.88	-1.9	hiseq	57990	
Aug_P06_net_10_50_bc3_3_L7.1.fastq.gz	Aug_P06_net_10_50_bc3_3_L7	ERS5337761	Aug_P06_0024	Aug_P06_net_10_50	10	50	net	12.99	1.84	1.36	hiseq	1056468	
50_MP4_MI_52_euk_S50_L001_R1_001.fastq.gz	50_MP4_MI_52_euk_S50	ERS5051929	Aug_P06_0024	Aug_P06_net_50_200	50	200	net	25.85	1.82	2.01	miseq	119293	
Aug_P06_net_50_200_bc4_4_L7.1.fastq.gz	Aug_P06_net_50_200_bc4_4_L7	ERS5337760	Aug_P06_0024	Aug_P06_net_50_200	50	200	net	25.85	1.82	2.01	hiseq	21776	
Aug_P07_0001_0.4_3_bc13_13_L7.1.fastq.gz	Aug_P07_0001_0.4_3_bc13_13_L7	ERS5337651	Aug_P07_0001	Aug_P07_0001_0.4_3	0.4	3	niskin	105.81	1.88	2.22	hiseq	52333	
Aug_P07_0001_3_10_bc14_14_L7.1.fastq.gz	Aug_P07_0001_3_10_bc14_14_L7	ERS5337677	Aug_P07_0001	Aug_P07_0001_3_10	3	10	niskin	44.45	1.63	1.4	hiseq	125984	
Aug_P07_0001_10_50_bc15_15_L7.1.fastq.gz	Aug_P07_0001_10_50_bc15_15_L7	ERS5337703	Aug_P07_0001	Aug_P07_0001_10_50	10	50	niskin	28.06	1.87	2.61	hiseq	428262	
Aug_P07_0001_50_200_bc16_16_L7.1.fastq.gz	Aug_P07_0001_50_200_bc16_16_L7	ERS5337729	Aug_P07_0001	Aug_P07_0001_50_200	50	200	niskin	5.63	1.69	-4.4	hiseq	395607	
Aug_P07_0025_0.4_3_bc6_7_L9.1.fastq.gz	Aug_P07_0025_0.4_3_bc6_7_L9	ERS5337650	Aug_P07_0025	Aug_P07_0025_0.4_3	0.4	3	niskin	37.51	1.91	2.61	hiseq	153792	
52_MP4_NP_66_euk_S52_L001_R1_001.fastq.gz	52_MP4_NP_66_euk_S52	ERS5051918	Aug_P07_0025	Aug_P07_0025_3_10	3	10	niskin	177.15	1.93	2.44	miseq	64873	
Aug_P07_0025_3_10_bc18_18_L7.1.fastq.gz	Aug_P07_0025_3_10_bc18_18_L7	ERS5337676	Aug_P07_0025	Aug_P07_0025_3_10	3	10	niskin	177.15	1.93	2.44	hiseq	87017	
Aug_P07_0025_3_10_bc18_18_L9.1.fastq.gz	Aug_P07_0025_3_10_bc18_18_L9	ERS5337769	Aug_P07_0025	Aug_P07_0025_3_10	3	10	niskin	177.15	1.93	2.44	hiseq	139385	60 degrees annealing PCR
Aug_P07_0025_3_10_bc16_16_L9.1.fastq.gz	Aug_P07_0025_3_10_bc16_16_L9	ERS5337773	Aug_P07_0025	Aug_P07_0025_3_10	3	10	niskin	177.15	1.93	2.44	hiseq	55366	replicate barcode
51_MP4_MI_66_euk_S51_L001_R1_001.fastq.gz	51_MP4_MI_66_euk_S51	ERS5051920	Aug_P07_0025	Aug_P07_0025_10_50	10	50	niskin	130.98	1.88	1.96	miseq	80855	
Aug_P07_0025_10_50_bc19_19_L7.1.fastq.gz	Aug_P07_0025_10_50_bc19_19_L7	ERS5337702	Aug_P07_0025	Aug_P07_0025_10_50	10	50	niskin	130.98	1.88	1.96	hiseq	18800	
Aug_P07_0025_50_200_bc20_20_L7.1.fastq.gz	Aug_P07_0025_50_200_bc20_20_L7	ERS5337728	Aug_P07_0025	Aug_P07_0025_50_200	50	200	niskin	139.89	1.89	2.31	hiseq	774212	
53_MP4_NP_86_euk_S53_L001_R1_001.fastq.gz	53_MP4_NP_86_euk_S53	ERS5051910	Aug_P07_0500	Aug_P07_0500_0.4_3	0.4	3	niskin	20.46	1.82	3.83	miseq	86212	
Aug_P07_0500_0.4_3_bc9_9_L5.1.fastq.gz	Aug_P07_0500_0.4_3_bc9_9_L5	ERS5337770	Aug_P07_0500	Aug_P07_0500_0.4_3	0.4	3	niskin	20.46	1.82	3.83	hiseq	176823	
Aug_P07_0500_0.4_3_bc9_9_L9.1.fastq.gz	Aug_P07_0500_0.4_3_bc9_9_L9	ERS5337649	Aug_P07_0500	Aug_P07_0500_0.4_3	0.4	3	niskin	6.15	1.9	-18.47	hiseq	44171	replicate DNA extraction
Aug_P07_0500_3_10_bc10_11_L5.1.fastq.gz	Aug_P07_0500_3_10_bc10_11_L5	ERS5337675	Aug_P07_0500	Aug_P07_0500_3_10	3	10	niskin	13.93	1.81	11.43	hiseq	107589	
Aug_P07_0500_10_50_bc11_10_L5.1.fastq.gz	Aug_P07_0500_10_50_bc11_10_L5	ERS5337701	Aug_P07_0500	Aug_P07_0500_10_50	10	50	niskin	4.98	1.81	-19.47	hiseq	143281	
Aug_P07_0500_50_200_bc12_12_L5.1.fastq.gz	Aug_P07_0500_50_200_bc12_12_L5	ERS5337727	Aug_P07_0500	Aug_P07_0500_50_200	50	200	niskin	1.65	2.02	-0.74	hiseq	376288	
Aug_P07_1000_0.4_3_bc13_13_L5.1.fastq.gz	Aug_P07_1000_0.4_3_bc13_13_L5	ERS5337648	Aug_P07_1000	Aug_P07_1000_0.4_3	0.4	3	niskin	5.99	1.85	-8.05	hiseq	70508	
54_MP4_NP_74_euk_S54_L001_R1_001.fastq.gz	54_MP4_NP_74_euk_S54	ERS5051917	Aug_P07_1000	Aug_P07_1000_3_10	3	10	niskin	3.61	2.75	4.71	miseq	54835	
Aug_P07_1000_3_10_bc14_14_L5.1.fastq.gz	Aug_P07_1000_3_10_bc14_14_L5	ERS5337771	Aug_P07_1000	Aug_P07_1000_3_10	3	10	niskin	3.61	2.75	4.71	hiseq	140936	
Aug_P07_1000_3_10_bc14_14_L9.1.fastq.gz	Aug_P07_1000_3_10_bc14_14_L9	ERS5337674	Aug_P07_1000	Aug_P07_1000_3_10	3	10	niskin	0.87	-1.66	-0.17	hiseq	11120	replicate DNA extraction
Aug_P07_1000_10_50_bc15_15_L5.1.fastq.gz	Aug_P07_1000_10_50_bc15_15_L5	ERS5337700	Aug_P07_1000	Aug_P07_1000_10_50	10	50	niskin	6.01	1.45	1.23	hiseq	101635	
Aug_P07_1000_50_200_bc16_16_L5.1.fastq.gz	Aug_P07_1000_50_200_bc16_16_L5	ERS5337726	Aug_P07_1000	Aug_P07_1000_50_200	50	200	niskin	3.76	1.18	5.79	hiseq	552543	
Aug_P07_net_10_50_bc7_6_L5.1.fastq.gz	Aug_P07_net_10_50_bc7_6_L5	ERS5337763	Aug_P07_0025	Aug_P07_net_10_50	10	50	net	9.39	2.04	2.47	hiseq	241777	
Aug_P07_net_50_200_bc8_8_L5.1.fastq.gz	Aug_P07_net_50_200_bc8_8_L5	ERS5337762	Aug_P07_0025	Aug_P07_net_50_200	50	200	net	23.52	1.9	2.62	hiseq	602986	
Nov_N02_0020_0.4_3_bc1_1_L8.1.fastq.gz	Nov_N02_0020_0.4_3_bc1_1_L8	ERS5337652	Nov_N02_0020	Nov_N02_0020_0.4_3	0.4	3	niskin	1.32	NA	NA	hiseq	420987	
Nov_N02_0020_3_10_bc2_2_L8.1.fastq.gz	Nov_N02_0020_3_10_bc2_2_L8	ERS5337678	Nov_N02_0020	Nov_N02_0020_3_10	3	10	niskin	3.31	NA	NA	hiseq	241057	
Nov_N02_0020_10_50_bc3_3_L8.1.fastq.gz	Nov_N02_0020_10_50_bc3_3_L8	ERS5337704	Nov_N02_0020	Nov_N02_0020_10_50	10	50	niskin	1.33	1.33	-0.23	hiseq	1238804	
55_MP5_MI_11_euk_S55_L001_R1_001.fastq.gz	55_MP5_MI_11_euk_S55	ERS5051924	Nov_N02_0020	Nov_N02_0020_50_200	50	200	niskin	3.23	1.54	-1.13	miseq	82731	
Nov_N02_0020_50_200_bc4_4_L8.1.fastq.gz	Nov_N02_0020_50_200_bc4_4_L8	ERS5337730	Nov_N02_0020	Nov_N02_0020_50_200	50	200	niskin	3.23	1.54	-1.13	hiseq	34756	
Nov_N02_net_10_50_bc5_5_L8.1.fastq.gz	Nov_N02_net_10_50_bc5_5_L8	ERS5337767	Nov_N02_0020	Nov_N02_net_10_50	10	50	net	2.98	1.35	-2.61	hiseq	129535	
Nov_N02_net_50_200_bc6_7_L8.1.fastq.gz	Nov_N02_net_50_200_bc6_7_L8	ERS5337766	Nov_N02_0020	Nov_N02_net_50_200	50	200	net	2.01	1.43	-1.2	hiseq	154895	
57_MP5_NP_35_euk_S57_L001_R1_001.fastq.gz	57_MP5_NP_35_euk_S57	ERS5051911	Nov_N03_0020	Nov_N03_0020_0.4_3	0.4	3	niskin	2.53	NA	NA	miseq	101657	
Nov_N03_0020_0.4_3_bc7_6_L8.1.fastq.gz	Nov_N03_0020_0.4_3_bc7_6_L8	ERS5337654	Nov_N03_0020	Nov_N03_0020_0.4_3	0.4	3	niskin	2.53	NA	NA	hiseq	40811	
Nov_N03_0020_3_10_bc8_8_L8.1.fastq.gz	Nov_N03_0020_3_10_bc8_8_L8	ERS5337680	Nov_N03_0020	Nov_N03_0020_3_10	3	10	niskin	6.83	NA	NA	hiseq	319216	
Nov_N03_0020_10_50_bc9_9_L8.1.fastq.gz	Nov_N03_0020_10_50_bc9_9_L8	ERS5337706	Nov_N03_0020	Nov_N03_0020_10_50	10	50	niskin	3.09	1.64	-0.63	hiseq	302493	
56_MP5_MI_29_euk_S56_L001_R1_001.fastq.gz	56_MP5_MI_29_euk_S56	ERS5051925	Nov_N03_0020	Nov_N03_0020_50_200	50	200	niskin	2.12	2.41	-0.4	miseq	74429	
Nov_N03_0020_50_200_bc10_11_L8.1.fastq.gz	Nov_N03_0020_50_200_bc10_11_L8	ERS5337732	Nov_N03_0020	Nov_N03_0020_50_200	50	200	niskin	2.12	2.41	-0.4	hiseq	273305	
Nov_N03_0300_0.4_3_bc13_13_L8.1.fastq.gz	Nov_N03_0300_0.4_3_bc13_13_L8	ERS5337653	Nov_N03_0300	Nov_N03_0300_0.4_3	0.4	3	niskin	1.82	NA	NA	hiseq	162615	
Nov_N03_0300_3_10_bc14_14_L8.1.fastq.gz	Nov_N03_0300_3_10_bc14_14_L8	ERS5337679	Nov_N03_0300	Nov_N03_0300_3_10	3	10	niskin	4.69	NA	NA	hiseq	157657	
Nov_N03_0300_10_50_bc15_15_L8.1.fastq.gz	Nov_N03_0300_10_50_bc15_15_L8	ERS5337705	Nov_N03_0300	Nov_N03_0300_10_50	10	50	niskin	2.01	1.03	-0.61	hiseq	91318	
Nov_N03_0300_50_200_bc16_16_L8.1.fastq.gz	Nov_N03_0300_50_200_bc16_16_L8	ERS5337731	Nov_N03_0300	Nov_N03_0300_50_200	50	200	niskin	5.31	1.43	1.98	hiseq	314923	
58_MP5_MI_18_euk_S58_L001_R1_001.fastq.gz	58_MP5_MI_18_euk_S58	ERS5051930	Nov_N03_0020	Nov_N03_net_10_50	10	50	net	1.34	2.56	-0.41	miseq	124496	
Nov_N03_net_10_50_bc11_10_L8.1.fastq.gz	Nov_N03_net_10_50_bc11_10_L8	ERS5337765	Nov_N03_0020	Nov_N03_net_10_50	10	50	net	1.34	2.56	-0.41	hiseq	239756	
Nov_N03_net_50_200_bc12_12_L8.1.fastq.gz	Nov_N03_net_50_200_bc12_12_L8	ERS5337764	Nov_N03_0020	Nov_N03_net_50_200	50	200	net	1.87	1.81	-1.09	hiseq	258477	
67_MP5_NP_59_euk_S67_L001_R1_001.fastq.gz	67_MP5_NP_59_euk_S67	ERS5051912	Nov_N04_0020	Nov_N04_0020_0.4_3	0.4	3	niskin	1.19	NA	NA	miseq	109410	
Nov_N04_0020_0.4_3_bc7_6_L9.1.fastq.gz	Nov_N04_0020_0.4_3_bc7_6_L9	ERS5337656	Nov_N04_0020	Nov_N04_0020_0.4_3	0.4	3	niskin	1.19	NA	NA	hiseq	8500	
Nov_N04_0020_3_10_bc18_18_L8.1.fastq.gz	Nov_N04_0020_3_10_bc18_18_L8	ERS5337682	Nov_N04_0020	Nov_N04_0020_3_10	3	10	niskin	2.24	NA	NA	hiseq	109166	
Nov_N04_0020_10_50_bc19_19_L8.1.fastq.gz	Nov_N04_0020_10_50_bc19_19_L8	ERS5337708	Nov_N04_0020	Nov_N04_0020_10_50	10	50	niskin	0.75	7.33	-0.15	hiseq	71127	
Nov_N04_0020_50_200_bc20_20_L8.1.fastq.gz	Nov_N04_0020_50_200_bc20_20_L8	ERS5337734	Nov_N04_0020	Nov_N04_0020_50_200	50	200	niskin	2.19	2.09	-0.52	hiseq	315460	
Nov_N04_1000_0.4_3_bc8_8_L9.1.fastq.gz	Nov_N04_1000_0.4_3_bc8_8_L9	ERS5337655	Nov_N04_1000	Nov_N04_1000_0.4_3	0.4	3	niskin	1.57	NA	NA	hiseq	262309	
Nov_N04_1000_3_10_bc18_18_L5.1.fastq.gz	Nov_N04_1000_3_10_bc18_18_L5	ERS5337681	Nov_N04_1000	Nov_N04_1000_3_10	3	10	niskin	1.92	NA	NA	hiseq	280118	
68_MP5_MI_36_euk_S68_L001_R1_001.fastq.gz	68_MP5_MI_36_euk_S68	ERS5051921	Nov_N04_1000	Nov_N04_1000_10_50	10	50	niskin	2.27	1.27	-1.72	miseq	120115	
Nov_N04_1000_10_50_bc19_19_L5.1.fastq.gz	Nov_N04_1000_10_50_bc19_19_L5	ERS5337707	Nov_N04_1000	Nov_N04_1000_10_50	10	50	niskin	2.27	1.27	-1.72	hiseq	27817	
Nov_N04_1000_50_200_bc20_20_L5.1.fastq.gz	Nov_N04_1000_50_200_bc20_20_L5	ERS5337733	Nov_N04_1000	Nov_N04_1000_50_200	50	200	niskin	1.4	2.56	-0.36	hiseq	602399	
